OAMmode,-6,Standard deviation
-10,0.000177195107465167,0.000173328548676262
-9,0.000762489896430907,0.00036297325262392
-8,0.000299776795458229,0.00018636124995864
-7,0.000902223595403484,0.000320416643837796
-6,0.952071394771338,0.00240941104694548
-5,0.000750437153328676,0.000274590739463562
-4,0.000604416203486835,0.000489215389988348
-3,0.000144708489813183,0.000130457570012247
-2,5.84524596263236e-05,5.16520657554618e-05
-1,0.000577528501708002,0.000266243960690898
0,0.0418899583164603,0.00210234775306651
1,6.74422227291416e-05,6.19550944447235e-05
2,4.56516674063323e-05,4.27036234183057e-05
3,5.24691325054505e-05,5.05157618421408e-05
4,2.12478235255276e-05,1.481371142602e-05
5,0.000103239904660768,7.696741212788e-05
6,0.00128802026301855,0.000170879611242546
7,0.000148784188809259,6.99957026802885e-05
8,1.0622814222927e-05,9.05795650636296e-06
9,1.19369225188848e-05,1.23848224314888e-05
10,1.20027570629233e-05,9.92861613595628e-06
