OAMmode,-10,Standard deviation,-9,Standard deviation,-8,Standard deviation,-7,Standard deviation,-6,Standard deviation,-5,Standard deviation,-4,Standard deviation,-3,Standard deviation,-2,Standard deviation,-1,Standard deviation,0,Standard deviation,1,Standard deviation,2,Standard deviation,3,Standard deviation,4,Standard deviation,5,Standard deviation,6,Standard deviation,7,Standard deviation,8,Standard deviation,9,Standard deviation,10,Standard deviation
-10,0.94717413559556,0.00300888375178875,0.00180088148044888,0.00120433182201097,0.0001028795852136,5.69720710796111e-05,0.000356566555183235,0.000140042705943452,0.000177195107465167,0.000173328548676262,0.0149699222529307,0.00215435483487704,7.07360430851622e-05,4.64127607679146e-05,7.77988568643195e-05,2.85292053194862e-05,0.000103796205394246,3.32781869302731e-05,3.4859544655319e-05,2.53666037875023e-05,4.04351694172078e-06,3.30399530980184e-06,1.59431418822464e-05,1.19105562846317e-05,7.35704659291514e-05,3.88367688611178e-05,1.07081840674539e-05,9.90989532045899e-06,8.19314706479446e-06,6.35137782012903e-06,0.000116068112674839,3.3231988168481e-05,2.50037005002923e-05,2.14858524624983e-05,1.33720852453223e-05,1.17865302055311e-05,1.59519300098054e-05,2.36844046941678e-05,3.99566469582169e-05,2.75709738647554e-05,0.00167546170996502,0.000182184026513444
-9,0.000234134208312753,0.000284566257978121,0.948376126587391,0.00175970976133866,0.00134192728728522,0.000559357546245967,0.000199971556412493,0.000112377375192882,0.000762489896430907,0.00036297325262392,0.000606135602993163,0.000498994593058905,0.000316446491069655,0.000184323437354637,0.00204751792625757,0.000212709485503291,3.80375876147809e-05,2.41565982295649e-05,1.76671969001063e-05,1.90894035505063e-05,6.72887756358875e-06,5.99224527148676e-06,2.25986324835503e-05,1.72892127963403e-05,1.24237792817894e-05,1.05098992421005e-05,3.28737908716903e-05,2.08073701017578e-05,1.20343205090023e-05,9.405727397799e-06,1.93116169384666e-05,1.35164472864895e-05,1.74316677685749e-05,1.42517109483852e-05,1.27708764168233e-05,8.94629177665966e-06,1.93874297345076e-05,1.75981263258852e-05,0.00151045686652651,0.000213818854600088,3.0751076437241e-05,3.45330362242169e-05
-8,0.000508092532214732,0.000443828999231052,0.000907219695363892,0.000452832151126987,0.949063036590815,0.0017827926145604,0.000995986978523433,0.000299884626058165,0.000299776795458229,0.00018636124995864,0.000538181498995982,0.000233647241452941,0.0162494458490983,0.00238271009326437,7.77103947484648e-05,7.71171260196074e-05,0.000341948812092596,8.02851567306702e-05,1.53517025935912e-05,1.13899300922042e-05,1.14068125611766e-05,7.1478527027002e-06,6.97483230638341e-06,5.46609490435764e-06,1.16062217845325e-05,1.19381382735581e-05,5.2784077944068e-06,4.49345641664276e-06,0.000146046292684332,6.03010940544422e-05,1.4737053778191e-05,1.60248638553831e-05,1.62133797019237e-05,1.90069551773705e-05,1.79521186520759e-05,1.36542292574279e-05,0.00162618714239215,0.000144116726764006,4.36421803442499e-05,3.93260035087103e-05,1.88354604624408e-05,1.47507357836901e-05
-7,0.0004206564622109,0.000274610629573003,0.000511410204509843,0.000444474446954814,0.000864075682557086,0.000434515139744542,0.95050910487771,0.00198684266476104,0.000902223595403484,0.000320416643837796,0.000252269819455364,0.000229916423643862,0.00124624515956384,0.000349369816921993,0.000482589000057487,0.000226006743961237,5.62881007226679e-05,2.67091367525717e-05,3.98107414270044e-05,2.62212592341133e-05,3.37224810209591e-05,1.32433071145941e-05,2.80240599153103e-05,2.40179638967609e-05,1.40817421296902e-05,1.28465874323413e-05,1.33890299875983e-05,1.03038659971773e-05,1.38539356342449e-05,1.44112562432186e-05,1.21462672986183e-05,1.6160673421272e-05,2.38676309596286e-05,2.04882219279723e-05,0.00168327049323125,0.000208231453476413,3.96586516728803e-05,2.24324125630524e-05,3.9618945862685e-05,3.25096054735496e-05,2.43806357680398e-05,2.65619607306674e-05
-6,0.000176668322410478,0.000130993140605614,0.000193800443351932,0.000176008025067119,0.000442741165556981,0.000363021930815901,0.000828919150080765,0.000352309928541629,0.952071394771338,0.00240941104694548,0.0006095826793171,0.000186418289604153,0.000290510324248316,0.000304066362597639,0.014362191024702,0.00208265893846752,0.00141910376987653,0.000221272066249106,2.83697335561328e-05,1.61266353489874e-05,1.562451711834e-05,9.35109938746026e-06,6.41927285869315e-05,3.44727780398021e-05,1.6382728432518e-05,1.32376356046648e-05,0.000152385739511374,6.34081964682665e-05,1.77729133810089e-05,1.36772050527455e-05,1.86474360788225e-05,1.73830432340732e-05,0.00173634582461091,0.000187854430552479,2.12713781131413e-05,2.4630056902593e-05,2.87435656716184e-05,1.98694638963017e-05,2.24273151019361e-05,2.19330010663626e-05,4.87421689285839e-05,4.36863410083594e-05
-5,0.00014281784706327,6.52668326878194e-05,7.78342961780254e-05,7.20702897209076e-05,0.000168519571019488,0.000150089922223208,0.00060491759541037,0.000508387239749718,0.000750437153328676,0.000274590739463562,0.943712498992682,0.00351588557517896,0.000533009831997333,0.000254987420424468,0.000700579973909043,0.000735175403272864,0.000189425180906255,0.000149066024332155,0.000145727336757773,9.24564167616168e-05,2.2641480626362e-05,1.7383966234864e-05,4.54641182159321e-05,1.65917344585423e-05,4.46495419623716e-05,3.8113199696072e-05,1.93383430655558e-05,1.41313380904406e-05,2.68493017046012e-05,2.29355552558486e-05,0.00145399732718943,0.000174187361790302,1.18727561684295e-05,1.05543977909116e-05,2.35556573411344e-05,2.22936707778917e-05,3.92577796333171e-05,3.22682108095255e-05,1.91695072420117e-05,1.45392211339147e-05,2.36026672517653e-05,2.97013375802111e-05
-4,0.000119468522939314,5.07800650609287e-05,0.000201697336251527,7.07941142745931e-05,9.03892903920678e-05,7.05747139290846e-05,9.94788894388421e-05,0.000102926276601628,0.000604416203486835,0.000489215389988348,0.000621885083091911,0.000337182184066443,0.940593291074038,0.0034878205110428,0.000611686743468454,0.000322289732189339,0.0154934448073618,0.000792684450192778,0.000920200498512713,0.000325498488489302,8.41284056036784e-05,6.69479782619849e-05,2.00284329423539e-05,1.53087825830663e-05,9.62582396368816e-05,4.71776106866469e-05,6.33725086061077e-05,4.04021555140316e-05,0.00146831824531546,0.000230035044601066,5.40299685098944e-05,4.00701964293655e-05,1.77285884390699e-05,1.98438592222155e-05,2.81268527047018e-05,2.46246567403195e-05,3.2893973596515e-05,2.91316138745868e-05,4.59088538633523e-05,4.28267622057271e-05,4.05949274639994e-05,4.00195199815645e-05
-3,0.000199955725747714,0.000131029603341574,0.000155764129431191,6.73510002439213e-05,0.000156132948177401,7.82371497572884e-05,4.9349940582033e-05,3.24869582861678e-05,0.000144708489813183,0.000130457570012247,0.000495110382075836,0.000414409514079322,0.00034347221412645,0.000251030391643684,0.941790614277124,0.00318521569769072,0.000962857851845911,0.000522564097176772,0.000814969562270562,0.000513674296112609,0.000145763066711879,8.26274513518673e-05,4.11069178483103e-05,4.20381920263542e-05,7.07504133288239e-05,3.23569495380127e-05,0.00158854151959531,0.000217964051572981,4.19781211808967e-05,3.23367492518524e-05,2.5308128778434e-05,2.17308276108904e-05,4.78580265479422e-05,3.56120111123866e-05,4.35886714171829e-05,3.45376766960763e-05,3.74231417197279e-05,3.16853209133833e-05,3.71026569183641e-05,2.44033323177632e-05,6.39429247968337e-05,3.80375589747592e-05
-2,5.38130460370212e-05,3.90051923451897e-05,0.00012236665418186,9.85242286127529e-05,0.000187403894969407,0.000131258851546676,0.00015478452996831,8.46149922095107e-05,5.84524596263236e-05,5.16520657554618e-05,0.00016641952067431,0.000155641304913886,0.00046623773114618,0.000365907565817745,0.000392840851418441,0.000164732615086568,0.94573612511158,0.00269098975320326,0.00826308852992952,0.00157465008509731,0.000586903515397807,0.000647577776691593,0.000238785274632392,8.44104037653497e-05,0.00142006904206937,0.000292172145137296,5.98799293243246e-05,4.60573519073028e-05,5.28450561958493e-05,3.65270977995422e-05,0.000140814217616025,0.000117020716642006,6.40437049526099e-05,4.93920344736209e-05,6.27598067524104e-05,4.29477425497027e-05,4.64594474589575e-05,4.07010863086756e-05,3.77688172292778e-05,3.24561123107282e-05,7.00683772691946e-05,7.19657706363359e-05
-1,0.000328301402532816,0.000172226443813748,0.000184627450948938,0.000146898319082,0.000366846978977264,0.000172836362992009,0.000272718319592968,9.69375736410583e-05,0.000577528501708002,0.000266243960690898,0.000360672146825891,0.000165819549795532,0.000736521924409317,0.00024439952917311,0.000468691874630167,0.000452180773852582,0.000255639699219046,0.000223913518449149,0.975520417094231,0.0041194403747751,0.00571531854802743,0.000516215815847926,0.0017996616079472,0.000520760085965955,6.85334194088227e-05,7.27054272729091e-05,6.72420680984942e-05,3.66683717967635e-05,6.0693025474734e-05,4.58562891960309e-05,0.000116213505862106,7.58430770969056e-05,0.000147542331774275,7.17201353348393e-05,8.4768682000913e-05,6.42439655113261e-05,0.000100764549415544,7.60799514403339e-05,5.94035855669972e-05,3.95667843158521e-05,0.000136014382178473,0.000136435436443763
